id,requirement_id,technique,priority,inputs,preconditions,steps,expected_result,tags
REQ-006-STT-AS-001,REQ-006,STT,High,"{""target_state"": ""Locked""}",,初始状态:Guest | Guest --register--> Registered | Registered --fifthFailedAttempt--> Locked | -> Locked,系统应执行:重置密码成功、解锁账户。,"STT,all_states"
REQ-001-BVA-001,REQ-001,BVA,Medium,"{""age"": 17}",,提交 age=17,系统应拒绝该输入:age 低于下限(18)。,"BVA,age"
REQ-002-BVA-001,REQ-002,BVA,Medium,"{""password"": ""xxxxxxx""}",,提交 password='xxxxxxx',系统应执行:通过密码校验、拒绝密码。,"BVA,password"
REQ-003-DT-001,REQ-003,DT,Medium,"{""邮箱包含 @"": false, ""邮箱包含 ."": false}",,"给定条件组合 {'邮箱包含 @': False, '邮箱包含 .': False}",系统应执行:通过邮箱校验、拒绝邮箱。,DT
REQ-004-BVA-001,REQ-004,BVA,Medium,"{""username"": ""xx""}",,提交 username='xx',系统应执行:通过用户名校验、拒绝用户名。,"BVA,username"
REQ-005-BVA-001,REQ-005,BVA,Medium,"{""failed_attempts"": -1}",,提交 failed_attempts=-1,系统应拒绝该输入:failed_attempts 低于下限(0)。,"BVA,failed_attempts"
REQ-006-STT-AS-002,REQ-006,STT,High,"{""target_state"": ""LoggedIn""}",,初始状态:Guest | Guest --register--> Registered | Registered --login--> LoggedIn | -> LoggedIn,系统应执行:重置密码成功、解锁账户。,"STT,all_states"
REQ-006-STT-AT-001,REQ-006,STT,High,"{""transition"": ""Guest --register--> Registered""}",,初始状态:Guest | Guest --register--> Registered,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,register"
REQ-006-STT-AT-002,REQ-006,STT,High,"{""transition"": ""Registered --login--> LoggedIn""}",,初始状态:Guest | Guest --register--> Registered | Registered --login--> LoggedIn,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,login"
REQ-006-STT-AT-003,REQ-006,STT,High,"{""transition"": ""LoggedIn --logout--> Registered""}",,初始状态:Guest | Guest --register--> Registered | Registered --login--> LoggedIn | LoggedIn --logout--> Registered,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,logout"
REQ-006-STT-AT-004,REQ-006,STT,High,"{""transition"": ""Registered --failedAttempt--> Registered""}",,初始状态:Guest | Guest --register--> Registered | Registered --failedAttempt--> Registered,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,failedAttempt"
REQ-006-STT-AT-005,REQ-006,STT,High,"{""transition"": ""LoggedIn --failedAttempt--> LoggedIn""}",,初始状态:Guest | Guest --register--> Registered | Registered --login--> LoggedIn | LoggedIn --failedAttempt--> LoggedIn,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,failedAttempt"
REQ-006-STT-AT-006,REQ-006,STT,High,"{""transition"": ""LoggedIn --fifthFailedAttempt--> Locked""}",,初始状态:Guest | Guest --register--> Registered | Registered --login--> LoggedIn | LoggedIn --fifthFailedAttempt--> Locked,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,fifthFailedAttempt"
